NAME,ZIP,URL,LON,LAT,ADDRESS
115th Street,10026,http://www.nypl.org/locations/115th-street,-73.95353074430393,40.80297988196676,203 West 115th Street
125th Street,10035,http://www.nypl.org/locations/125th-street,-73.9348475633247,40.80301816141575,224 East 125th Street
53rd Street,10019,http://www.nypl.org/locations/53rd-street,-73.97736329270697,40.76080689474172,18 West 53rd Street
58th Street,10022,http://www.nypl.org/locations/58th-street,-73.9693817046576,40.7621860177235,127 East 58th Street
67th Street,10065,http://www.nypl.org/locations/67th-street,-73.95954994584243,40.764915006253425,328 East 67th Street
96th Street,10128,http://www.nypl.org/locations/96th-street,-73.9518056716208,40.785959798621555,112 East 96th Street
Aguilar,10029,http://www.nypl.org/locations/aguilar,-73.94345827853815,40.79421476546373,174 East 110th Street
Allerton,10467,http://www.nypl.org/locations/allerton,-73.86322248483968,40.866804429026935,2740 Barnes Avenue
Andrew Heiskell Braille and Talking Book,10011,http://www.nypl.org/locations/heiskell,-73.99335691118674,40.74046545561088,40 West 20th Street
Battery Park City Library,10282,http://www.nypl.org/locations/battery-park-city,-74.0157487123272,40.715690873439094,175 North End Avenue
Baychester,10475,http://www.nypl.org/locations/baychester,-73.82931594567218,40.87075330808789,2049 Asch Loop North
Belmont Library and Enrico Fermi Cultural Center,10458,http://www.nypl.org/locations/belmont,-73.88788268526544,40.85434421451861,610 East 186th Street
Bloomingdale,10025,http://www.nypl.org/locations/bloomingdale,-73.96760677135273,40.79587354648015,150 West 100th Street
Bronx Library Center,10458,http://www.nypl.org/locations/bronx-library-center,-73.89450288645044,40.86298060519321,310 East Kingsbridge Road
Castle Hill,10473,http://www.nypl.org/locations/castle-hill,-73.85017019717382,40.82662920810023,947 Castle Hill Avenue
Chatham Square,10002,http://www.nypl.org/locations/chatham-square,-73.99648986636721,40.71333307050747,33 East Broadway
City Island,10464,http://www.nypl.org/locations/city-island,-73.78636658900808,40.847691903619904,320 City Island Avenue
Clason's Point,10472,http://www.nypl.org/locations/clasons-point,-73.87502060024048,40.82999287527917,1215 Morrison Avenue
Columbus,10019,http://www.nypl.org/locations/columbus,-73.99122081783712,40.764934618394804,742 10th Avenue
Countee Cullen,10030,http://www.nypl.org/locations/countee-cullen,-73.94116092350963,40.81483582138157,104 West 136th Street
Dongan Hills,10304,http://www.nypl.org/locations/dongan-hills,-74.1011372893581,40.59039133599787,1617 Richmond Road
Eastchester,10469,http://www.nypl.org/locations/eastchester,-73.84506427532864,40.87013970297055,1385 East Gun Hill Road
Edenwald,10466,http://www.nypl.org/locations/edenwald,-73.84083712785493,40.88889489584642,1255 East 233rd Street
Epiphany,10010,http://www.nypl.org/locations/epiphany,-73.98204888964264,40.738087120390595,228 East 23rd Street
Fort Washington,10033,http://www.nypl.org/locations/fort-washington,-73.93386591312449,40.847870041168214,535 West 179th Street
Francis Martin,10453,http://www.nypl.org/locations/francis-martin,-73.90931635032427,40.85742189422779,2150 University Avenue
George Bruce,10027,http://www.nypl.org/locations/george-bruce,-73.95705320654999,40.813768964572695,518 West 125th Street
Grand Central,10017,http://www.nypl.org/locations/grand-central,-73.97356771683344,40.754067875550625,135 East 46th Street
Grand Concourse,10457,http://www.nypl.org/locations/grand-concourse,-73.91008714449384,40.844001911750446,155 East 173rd Street
Great Kills,10308,http://www.nypl.org/locations/great-kills,-74.15111164313684,40.55242326280796,56 Giffords Lane
Hamilton Fish Park,10002,http://www.nypl.org/locations/hamilton-fish-park,-73.97942314417445,40.71978015438276,415 East Houston Street
Hamilton Grange,10031,http://www.nypl.org/locations/hamilton-grange,-73.94803241890192,40.82567237379984,503 West 145th Street
Harlem,10027,http://www.nypl.org/locations/harlem,-73.94331559838257,40.80616044207548,9 West 124th Street
High Bridge,10452,http://www.nypl.org/locations/high-bridge,-73.92355090156951,40.837960016855035,78 West 168th Street
Hudson Park,10014,http://www.nypl.org/locations/hudson-park,-74.00533101445356,40.72998291458653,66 Leroy Street
Huguenot Park,10312,http://www.nypl.org/locations/huguenot-park,-74.19322900650182,40.534078493080344,830 Huguenot Avenue
Hunts Point,10459,http://www.nypl.org/locations/hunts-point,-73.89413216580388,40.818670087188615,877 Southern Boulevard
Inwood,10034,http://www.nypl.org/locations/inwood,-73.92586290917251,40.865748720737024,4790 Broadway
Jefferson Market,10011,http://www.nypl.org/locations/jefferson-market,-73.99916928513315,40.73463470830847,425 Avenue of the Americas
Jerome Park,10468,http://www.nypl.org/locations/jerome-park,-73.90119235962918,40.86906986689302,118 Eames Place
Kingsbridge,10463,http://www.nypl.org/locations/kingsbridge,-73.90770595199646,40.88069989038004,291 West 231st Street
Kips Bay,10016,http://www.nypl.org/locations/kips-bay,-73.97990195853163,40.74380962013242,446 Third Avenue
Macomb's Bridge,10039,http://www.nypl.org/locations/macombs-bridge,-73.93586246250698,40.82653201339423,2650 Adam Clayton Powell Jr. Boulevard
Mariners Harbor,10303,http://www.nypl.org/locations/mariners-harbor,-74.16658190502365,40.63469343184469,206 South Ave
Melrose,10451,http://www.nypl.org/locations/melrose,-73.91758393603561,40.826584558970666,910 Morris Avenue
Mid-Manhattan,10016,http://www.nypl.org/locations/mid-manhattan-library,-73.98169851078917,40.75189156171031,455 Fifth Avenue
Morningside Heights,10025,http://www.nypl.org/locations/morningside-heights,-73.96477561597041,40.80613025800837,2900 Broadway
Morris Park,10462,http://www.nypl.org/locations/morris-park,-73.85695785375374,40.84802911005552,985 Morris Park Avenue
Morrisania,10456,http://www.nypl.org/locations/morrisania,-73.90179407206183,40.83126291201479,610 East 169th Street
Mosholu,10467,http://www.nypl.org/locations/mosholu,-73.87838435032448,40.87437981398938,285 East 205th Street
Mott Haven,10454,http://www.nypl.org/locations/mott-haven,-73.92438195200242,40.81158963775246,321 East 140th Street
Muhlenberg,10011,http://www.nypl.org/locations/muhlenberg,-73.9959685690698,40.74448733065495,209 West 23rd Street
Mulberry Street,10012,http://www.nypl.org/locations/mulberry-street,-73.99568416859454,40.72413926605543,10 Jersey Street
New Amsterdam,10007,http://www.nypl.org/locations/new-amsterdam,-74.00786921340098,40.71357685109021,9 Murray Street
New Dorp,10306,http://www.nypl.org/locations/new-dorp,-74.11195814748115,40.57193184836513,309 New Dorp Lane
"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",10023,http://www.nypl.org/locations/lpa,-73.98454684522841,40.7735069911927,40 Lincoln Center Plaza
Ottendorfer,10003,http://www.nypl.org/locations/ottendorfer,-73.98774284104663,40.72890664078863,135 Second Avenue
Parkchester,10462,http://www.nypl.org/locations/parkchester,-73.85835004816082,40.83378098529545,1985 Westchester Avenue
Pelham Bay,10461,http://www.nypl.org/locations/pelham-bay,-73.82790017237492,40.844317529931516,3060 Middletown Road
Pelham Parkway-Van Nest,10462,http://www.nypl.org/locations/pelham-parkway-van-nest,-73.8641466616336,40.85487588027384,2147 Barnes Avenue
Port Richmond,10302,http://www.nypl.org/locations/port-richmond,-74.13110461508398,40.63758561600359,75 Bennett Street
Richmondtown,10306,http://www.nypl.org/locations/richmondtown,-74.13853387646311,40.566530146210184,200 Clarke Avenue
Riverdale,10471,http://www.nypl.org/locations/riverdale,-73.90277254280693,40.90372277707978,5540 Mosholu Avenue
Riverside,10023,http://www.nypl.org/locations/riverside,-73.98451216196563,40.77423207861022,127 Amsterdam Avenue
Roosevelt Island,10044,http://www.nypl.org/locations/roosevelt-island,-73.95020567413508,40.76123275727826,524 Main Street
Schomburg Center for Research in Black Culture,10037,http://www.nypl.org/locations/schomburg,-73.94094393837611,40.81464862404033,515 Malcolm X Boulevard
"Science, Industry and Business Library (SIBL)",10016,http://www.nypl.org/locations/sibl,-73.98300921762814,40.74811515837409,188 Madison Avenue
Sedgwick,10453,http://www.nypl.org/locations/sedgwick,-73.9174950173068,40.849444506294475,1701 Martin Luther King Jr. Boulevard
Seward Park,10002,http://www.nypl.org/locations/seward-park,-73.98850101814436,40.71440955033492,192 East Broadway
Soundview,10473,http://www.nypl.org/locations/soundview,-73.86288995608042,40.818709352248625,660 Soundview Avenue
South Beach,10305,http://www.nypl.org/locations/south-beach,-74.06298045409709,40.59580257046463,21-25 Robin Road
Spuyten Duyvil,10463,http://www.nypl.org/locations/spuyten-duyvil,-73.9146501854584,40.88628523559925,650 West 235th Street
St. Agnes,10024,http://www.nypl.org/locations/st-agnes,-73.97745211592564,40.784834636708375,444 Amsterdam Avenue
St. George Library Center,10301,http://www.nypl.org/locations/st-george-library-center,-74.07667836343802,40.64179934831384,5 Central Avenue
Stapleton,10304,http://www.nypl.org/locations/stapleton,-74.07786385638836,40.626256522293644,132 Canal Street
Stephen A. Schwarzman Building,10018,http://www.nypl.org/locations/schwarzman,-73.98223080385785,40.75320442290988, Fifth Avenue at 42nd Street
Terence Cardinal Cooke-Cathedral,10022,http://www.nypl.org/locations/cathedral,-73.97254082689402,40.75680235018433,560 Lexington Avenue
Throg's Neck,10465,http://www.nypl.org/locations/throgs-neck,-73.8190949368255,40.82287218481685,3025 Cross Bronx Expressway Extension
Todt Hill-Westerleigh,10314,http://www.nypl.org/locations/todt-hill-westerleigh,-74.14852127833858,40.60960200172146,2550 Victory Boulevard
Tompkins Square,10009,http://www.nypl.org/locations/tompkins-square,-73.98042071146763,40.72728802667872,331 East 10th Street
Tottenville,10307,http://www.nypl.org/locations/tottenville,-74.24410670826178,40.509531123859375,7430 Amboy Road
Tremont,10457,http://www.nypl.org/locations/tremont,-73.89834943816875,40.84604568736388,1866 Washington Avenue
Van Cortlandt,10463,http://www.nypl.org/locations/van-cortlandt,-73.8939211860628,40.88277969546436,3874 Sedgwick Avenue
Wakefield,10466,http://www.nypl.org/locations/wakefield,-73.85958124409599,40.891085065406706,4100 Lowerre Place
Washington Heights,10032,http://www.nypl.org/locations/washington-heights,-73.93971034945567,40.834548887305765,1000 St. Nicholas Avenue
Webster,10021,http://www.nypl.org/locations/webster,-73.95134169404905,40.770652543462646,1465 York Avenue
West Farms,10460,http://www.nypl.org/locations/west-farms,-73.88301210482436,40.844644453005635,2085 Honeywell Avenue
West New Brighton,10310,http://www.nypl.org/locations/west-new-brighton,-74.11482187344863,40.63450894226954,976 Castleton Avenue
Westchester Square,10461,http://www.nypl.org/locations/westchester-square,-73.84673061822738,40.84086754432402,2521 Glebe Avenue
Woodlawn Heights,10470,http://www.nypl.org/locations/woodlawn-heights,-73.86794200000536,40.90043990975718,4355 Katonah Avenue
Woodstock,10456,http://www.nypl.org/locations/woodstock,-73.90464799347694,40.82061890603643,761 East 160th Street
Yorkville,10021,http://www.nypl.org/locations/yorkville,-73.95637252319334,40.77365564161395,222 East 79th Street
Arlington,11207,http://www.bklynlibrary.org/locations/arlington,-73.88723723774561,40.68068925695902,203 Arlington Avenue
Bay Ridge,11209,http://www.bklynlibrary.org/locations/bay-ridge,-74.02953835191357,40.633625713382486,7223 Ridge Boulevard
Bedford,11238,http://www.bklynlibrary.org/locations/bedford,-73.95616471363496,40.68181211172472,496 Franklin Avenue
Borough Park,11219,http://www.bklynlibrary.org/locations/borough-park,-73.98900318822345,40.638888838712376,1265 43rd Street
Brighton Beach <br> (Closed for Renovation),11235,http://www.bklynlibrary.org/locations/brighton-beach,-73.9667748761715,40.57610774698186,16 Brighton First Road
Brooklyn Heights,11201,http://www.bklynlibrary.org/locations/brooklyn-heights,-73.99134798814833,40.69568255523745,280 Cadman Plaza West
Brower Park,11216,http://www.bklynlibrary.org/locations/brower-park,-73.94856613670774,40.675370851852314,725 St. Marks Avenue
Brownsville,11212,http://www.bklynlibrary.org/locations/brownsville,-73.90860343294449,40.671526655858436,61 Glenmore Avenue
Bushwick,11206,http://www.bklynlibrary.org/locations/bushwick,-73.93961842135727,40.704559063938675,340 Bushwick Avenue
Canarsie,11236,http://www.bklynlibrary.org/locations/canarsie,-73.89952442124468,40.64220845315574,1580 Rockaway Parkway
Carroll Gardens,11231,http://www.bklynlibrary.org/locations/carroll-gardens,-73.99801906031493,40.683213515337584,396 Clinton Street
Brooklyn Central Library,11238,http://www.bklynlibrary.org/locations/central,-73.9682243828713,40.672343526336505,10 Grand Army Plaza
Clarendon,11210,http://www.bklynlibrary.org/locations/clarendon,-73.94763429707129,40.63574014928098,2035 Nostrand Avenue
Clinton Hill,11238,http://www.bklynlibrary.org/locations/clinton-hill,-73.96603066603613,40.68737909411427,380 Washington Avenue
Coney Island,11224,http://www.bklynlibrary.org/locations/coney-island,-73.9860619926265,40.57663777607667,1901 Mermaid Avenue
Cortelyou,11226,http://www.bklynlibrary.org/locations/cortelyou,-73.96596507806375,40.640803547205046,1305 Cortelyou Road
Crown Heights,11225,http://www.bklynlibrary.org/locations/crown-heights,-73.9481022990789,40.661189307734446,560 New York Avenue
Cypress Hills,11208,http://www.bklynlibrary.org/locations/cypress-hills,-73.8740348780572,40.67270747286009,1197 Sutter Avenue
DeKalb,11221,http://www.bklynlibrary.org/locations/dekalb,-73.92839866742115,40.694816700021924,790 Bushwick Avenue
Dyker,11228,http://www.bklynlibrary.org/locations/dyker,-74.0119885202191,40.616308136970446,8202 13th Avenue
East Flatbush,11212,http://www.bklynlibrary.org/locations/east-flatbush,-73.91494061956683,40.655710884739364,9612 Church Avenue
Eastern Parkway,11213,http://www.bklynlibrary.org/locations/eastern-parkway,-73.93365084956477,40.66848651013449,1044 Eastern Parkway
Flatbush,11226,http://www.bklynlibrary.org/locations/flatbush,-73.95824218248399,40.651925081044595,22 Linden Boulevard
Flatlands,11234,http://www.bklynlibrary.org/locations/flatlands,-73.93321325624171,40.61976819625962,2065 Flatbush Avenue
Fort Hamilton,11209,http://www.bklynlibrary.org/locations/fort-hamilton,-74.0313694054087,40.61637311059178,9424 Fourth Avenue
Gerritsen Beach,11229,http://www.bklynlibrary.org/locations/gerritsen-beach,-73.9239376273276,40.59137103427607,2808 Gerritsen Avenue
Gravesend,11223,http://www.bklynlibrary.org/locations/gravesend,-73.9718084463328,40.590544390004084,303 Avenue X
Greenpoint,11222,http://www.bklynlibrary.org/locations/greenpoint,-73.95069497514092,40.72602806688718,107 Norman Avenue
Highlawn,11223,http://www.bklynlibrary.org/locations/highlawn,-73.98624641554409,40.605693037370436,1664 West 13th Street
Homecrest,11223,http://www.bklynlibrary.org/locations/homecrest,-73.96059936964683,40.5952368631223,2525 Coney Island Avenue
Jamaica Bay,11236,http://www.bklynlibrary.org/locations/jamaica-bay,-73.88924363004107,40.63446013901777,9727 Seaview Avenue
Kensington,11218,http://www.bklynlibrary.org/locations/kensington,-73.97543590517284,40.63129183260273,4207 18th Avenue
Kings Bay,11229,http://www.bklynlibrary.org/locations/kings-bay,-73.94112492296973,40.594861515121615,3650 Nostrand Avenue
Kings Highway,11229,http://www.bklynlibrary.org/locations/kings-highway,-73.95310584865699,40.610256667276076,2115 Ocean Avenue
Leonard,11211,http://www.bklynlibrary.org/locations/leonard,-73.94793571283621,40.71364488802169,81 Devoe Street
Macon,11233,http://www.bklynlibrary.org/locations/macon,-73.93480547027619,40.68300490204431,361 Lewis Avenue
Mapleton,11204,http://www.bklynlibrary.org/locations/mapleton,-73.989440154021,40.62309139633207,1702 60th Street
Marcy,11216,http://www.bklynlibrary.org/locations/marcy,-73.95128349802154,40.69162308733465,617 DeKalb Avenue
McKinley Park,11219,http://www.bklynlibrary.org/locations/mckinley-park,-74.01183730763366,40.62918753393924,6802 Fort Hamilton Parkway
Midwood,11230,http://www.bklynlibrary.org/locations/midwood,-73.96031449280875,40.62589330718781,975 East 16th Street
Mill Basin,11234,http://www.bklynlibrary.org/locations/mill-basin,-73.91702120710569,40.61986842104019,2385 Ralph Avenue
New Lots,11207,http://www.bklynlibrary.org/locations/new-lots,-73.88607053682676,40.665159369730134,665 New Lots Avenue
"New Utrecht <br> (Temporary Closed, will reopen later this Summer (2016).",11214,http://www.bklynlibrary.org/locations/new-utrecht,-74.00337654508532,40.608009349952326,1743 86th Street
Pacific,11217,http://www.bklynlibrary.org/locations/pacific,-73.97858353651877,40.68346662977525,25 Fourth Avenue
Paerdegat,11234,http://www.bklynlibrary.org/locations/paerdegat,-73.91998488083019,40.63263699303789,850 East 59th Street
Park Slope,11215,http://www.bklynlibrary.org/locations/park-slope,-73.98345536969875,40.66823507229803,431 6th Avenue
Red Hook,11231,http://www.bklynlibrary.org/locations/red-hook,-74.0103430690854,40.6752407736475,7 Wolcott Street
Rugby,11203,http://www.bklynlibrary.org/locations/rugby,-73.93035653080916,40.64861929304924,1000 Utica Avenue
Ryder,11204,http://www.bklynlibrary.org/locations/ryder,-73.97596652755537,40.61587982519312,5902 23rd Avenue
Saratoga,11233,http://www.bklynlibrary.org/locations/saratoga,-73.91513241598248,40.68481004767251,8 Thomas S. Boyland Street
Sheepshead Bay,11235,http://www.bklynlibrary.org/locations/sheepshead-bay,-73.95537377987904,40.58701342922593,2636 East 14th Street
Spring Creek,11207,http://www.bklynlibrary.org/locations/spring-creek,-73.88586614058737,40.653209761333976,12143 Flatlands Avenue
Stone Avenue,11212,http://www.bklynlibrary.org/locations/stone-avenue,-73.90524945420668,40.66449962821875,581 Mother Gaston Boulevard
Sunset Park,11220,http://www.bklynlibrary.org/locations/sunset-park,-74.013630001215,40.64591212398883,5108 4th Avenue
Ulmer Park,11214,http://www.bklynlibrary.org/locations/ulmer-park,-73.98862740604375,40.59268511632151,2602 Bath Avenue
Walt Whitman,11205,http://www.bklynlibrary.org/locations/walt-whitman,-73.97773263286963,40.69448969834957,93 Saint Edwards Street
Washington Irving,11237,http://www.bklynlibrary.org/locations/washington-irving,-73.91220085369726,40.697495053029975,360 Irving Avenue
Williamsburgh,11211,http://www.bklynlibrary.org/locations/williamsburgh,-73.9575546134494,40.70693042467486,240 Division Avenue
Windsor Terrace,11218,http://www.bklynlibrary.org/locations/windsor-terrace,-73.9767587688368,40.64875019151304,160 East 5th Street
Arverne,11692,http://www.queenslibrary.org/branch/Arverne?filters=ev_loc:92300000,-73.78404002857111,40.59314678303443,312 Beach 54 Street
Astoria,11102,http://www.queenslibrary.org/branch/Astoria?filters=ev_loc:92400000,-73.92874209024014,40.77237538146876,14-01 Astoria Boulevard
Auburndale,11358,http://www.queenslibrary.org/branch/Auburndale?filters=ev_loc:92500000,-73.79634178839724,40.773746255710755,25-55 Francis Lewis Boulevard
Baisley Park,11436,http://www.queenslibrary.org/branch/Baisley-Park?filters=ev_loc:92600000,-73.79167861112357,40.68031131164878,117-11 Sutphin Boulevard
Bay Terrace,11360,http://www.queenslibrary.org/branch/Bay-Terrace?filters=ev_loc:96600000,-73.77701089642582,40.78252384357715,18-36 Bell Boulevard
Bayside,11361,http://www.queenslibrary.org/branch/Bayside?filters=ev_loc:91100000,-73.76836198066813,40.76012558120687,214-20 Northern Boulevard
Bellerose,11426,http://www.queenslibrary.org/branch/Bellerose?filters=ev_loc:96400000,-73.71710447116403,40.7351605518022,250-06 Hillside Avenue
Briarwood,11435,http://www.queenslibrary.org/branch/Briarwood?filters=ev_loc:92700000,-73.81945312008847,40.71003455781208,85-12 Main Street
Broad Channel,11693,http://www.queenslibrary.org/branch/Broad-Channel?filters=ev_loc:97200000,-73.82005265821793,40.600732105185145,16-26 Cross Bay Boulevard
Broadway,11103,http://www.queenslibrary.org/branch/Broadway?filters=ev_loc:91200000,-73.91862332039818,40.75852926696433,40-20 Broadway
Cambria Heights,11411,http://www.queenslibrary.org/branch/Cambria-Heights?filters=ev_loc:92800000,-73.741163136486,40.695722605950635,218-13 Linden Boulevard
Queens Central Library,11432,http://www.queenslibrary.org/branch/Central-Library?filters=ev_loc:11000000,-73.7946780399278,40.70787313178586,89-11 Merrick Boulevard
Corona,11368,http://www.queenslibrary.org/branch/Corona?filters=ev_loc:92900000,-73.86197684397808,40.7508940803989,38-23 104 Street
Court Square,11101,http://www.queenslibrary.org/branch/Court-Square?filters=ev_loc:97100000,-73.94442138618983,40.74689957448345,25-01 Jackson Avenue
Douglaston/Little Neck,11363,http://www.queenslibrary.org/branch/Douglaston/Little-Neck?filters=ev_loc:93000000,-73.73822944076473,40.768225432005,249-01 Northern Boulevard
East Elmhurst,11369,http://www.queenslibrary.org/branch/East-Elmhurst?filters=ev_loc:93100000,-73.87386662995279,40.76242212968529,95-06 Astoria Boulevard
East Flushing,11358,http://www.queenslibrary.org/branch/East-Flushing?filters=ev_loc:96200000,-73.78430296366649,40.757545679612846,196-36 Northern Boulevard
Elmhurst <br> (Temporary location due to renovations),11373,http://www.queenslibrary.org/branch/Elmhurst?filters=ev_loc:93200000,-73.87797365739723,40.738303240536474,85-08 51 Avenue
Far Rockaway,11691,http://www.queenslibrary.org/branch/Far-Rockaway?filters=ev_loc:91300000,-73.75247942402618,40.60431350914963,1637 Central Avenue
Flushing,11355,http://www.queenslibrary.org/branch/Flushing?filters=ev_loc:91400000,-73.82888468513289,40.75777406826378,41-17 Main Street
Forest Hills,11375,http://www.queenslibrary.org/branch/Forest-Hills?filters=ev_loc:91500000,-73.84301499681045,40.722146953166686,108-19 71 Avenue
Fresh Meadows,11365,http://www.queenslibrary.org/branch/Fresh-Meadows?filters=ev_loc:91600000,-73.78228143761608,40.74158266352509,193-20 Horace Harding Expressway
Glen Oaks,11004,http://www.queenslibrary.org/branch/Glen-Oaks?filters=ev_loc:93300000,-73.71484580101803,40.745172198133105,256-04 Union Turnpike
Glendale,11385,http://www.queenslibrary.org/branch/Glendale?filters=ev_loc:93400000,-73.87574434777649,40.702585245598996,78-60 73 Place
Hillcrest,11366,http://www.queenslibrary.org/branch/Hillcrest?filters=ev_loc:96500000,-73.78191929899681,40.72925482196691,187-05 Union Turnpike
Hollis,11423,http://www.queenslibrary.org/branch/Hollis?filters=ev_loc:93500000,-73.76232032699329,40.720166536917226,202-05 Hillside Avenue
Howard Beach,11414,http://www.queenslibrary.org/branch/Howard-Beach?filters=ev_loc:93600000,-73.84180221655218,40.66381025649444,92-06 156 Avenue
Jackson Heights,11372,http://www.queenslibrary.org/branch/Jackson-Heights?filters=ev_loc:91700000,-73.88506932468307,40.75019608559315,35-51 81 Street
Kew Gardens Hills <br> (Temporary location),11367,http://www.queenslibrary.org/branch/Kew-Gardens-Hills?filters=ev_loc:92200000,-73.82226966032037,40.72693697185495,71-34 Main Street
Langston Hughes,11368,http://www.queenslibrary.org/branch/Langston-Hughes?filters=ev_loc:98200000,-73.86819939085701,40.757577301854525,100-01 Northern Boulevard
Laurelton,11413,http://www.queenslibrary.org/branch/Laurelton?filters=ev_loc:91800000,-73.74567356126445,40.67695272804687,134-26 225 Street
Lefferts,11419,http://www.queenslibrary.org/branch/Lefferts?filters=ev_loc:91000000,-73.82482969850855,40.68690728824833,103-34 Lefferts Boulevard
Lefrak City,11368,http://www.queenslibrary.org/branch/Lefrak-City?filters=ev_loc:93700000,-73.86165592933878,40.737434137948505,98-30 57 Avenue
Long Island City,11101,http://www.queenslibrary.org/branch/Long-Island-City?filters=ev_loc:97300000,-73.93930930198185,40.75780342796006,37-44 21 Street
Maspeth,11378,http://www.queenslibrary.org/branch/Maspeth?filters=ev_loc:93900000,-73.89310456490118,40.72699537010918,69-70 Grand Avenue
McGoldrick,11354,http://www.queenslibrary.org/branch/McGoldrick?filters=ev_loc:93800000,-73.8098334843409,40.76375031625646,155-06 Roosevelt Avenue
Middle Village,11379,http://www.queenslibrary.org/branch/Middle-Village?filters=ev_loc:94000000,-73.88085934625774,40.71293387617611,72-31 Metropolitan Avenue
Mitchell-Linden,11354,http://www.queenslibrary.org/branch/Mitchell-Linden?filters=ev_loc:94100000,-73.82694112165963,40.76914153216748,31-32 Union Street
North Forest Park,11375,http://www.queenslibrary.org/branch/North-Forest-Park?filters=ev_loc:96800000,-73.85367250555949,40.711156858305394,98-27 Metropolitan Avenue
North Hills,11362,http://www.queenslibrary.org/branch/North-Hills?filters=ev_loc:94200000,-73.73183792044951,40.75925363922453,57-04 Marathon Parkway
Ozone Park <br> (Closed for renovations),11417,http://www.queenslibrary.org/branch/Ozone-Park?filters=ev_loc:94300000,-73.84648846296761,40.680867178856886,92-24 Rockaway Boulevard
Peninsula,11693,http://www.queenslibrary.org/branch/Peninsula?filters=ev_loc:94400000,-73.81606502823946,40.58586414713836,92-25 Rockaway Beach Boulevard
Pomonok,11365,http://www.queenslibrary.org/branch/Pomonok?filters=ev_loc:94500000,-73.81009488691065,40.732925077255004,158-21 Jewel Avenue
Poppenhusen,11356,http://www.queenslibrary.org/branch/Poppenhusen?filters=ev_loc:94600000,-73.84601807353184,40.786213103407846,121-23 14 Avenue
Queens Library for Teens,11691,http://www.queenslibrary.org/branch/Queens-Library-for-Teens?filters=ev_loc:91309134,-73.75351240691268,40.60239019036059,2002 Cornaga Avenue
Queens Village,11428,http://www.queenslibrary.org/branch/Queens-Village?filters=ev_loc:91900000,-73.73904906070274,40.7198883271777,94-11 217 Street
Queensboro Hill,11355,http://www.queenslibrary.org/branch/Queensboro-Hill?filters=ev_loc:96900000,-73.82516996389201,40.74293094649011,60-05 Main Street
Queensbridge <br> Now a Family Literacy Center,11101,http://www.queenslibrary.org/branch/Queensbridge?filters=ev_loc:94700000,-73.94424078652605,40.755073718041466,10-43 41 Avenue
Ravenswood <br> Now a Family Literacy Center,11106,http://www.queenslibrary.org/branch/Ravenswood?filters=ev_loc:94800000,-73.93640396909242,40.76067995120377,35-32 21 Street
Rego Park,11374,http://www.queenslibrary.org/branch/Rego-Park?filters=ev_loc:92000000,-73.86450282598912,40.72731656026829,91-41 63 Drive
Richmond Hill,11418,http://www.queenslibrary.org/branch/Richmond-Hill?filters=ev_loc:94900000,-73.83164233461157,40.70079720332697,118-14 Hillside Avenue
Ridgewood,11385,http://www.queenslibrary.org/branch/Ridgewood?filters=ev_loc:92100000,-73.90258827579805,40.70522689472795,20-12 Madison Street
Rochdale Village,11434,http://www.queenslibrary.org/branch/Rochdale-Village?filters=ev_loc:95000000,-73.7705902160538,40.67287520439724,169-09 137 Avenue
Rosedale,11422,http://www.queenslibrary.org/branch/Rosedale?filters=ev_loc:95100000,-73.73991101315558,40.659963623126004,144-20 243 Street
Seaside,11694,http://www.queenslibrary.org/branch/Seaside?filters=ev_loc:96300000,-73.83774700520225,40.57940488152449,116-15 Rockaway Beach Boulevard
South Hollis,11412,http://www.queenslibrary.org/branch/South-Hollis?filters=ev_loc:95300000,-73.75379739629261,40.707003911354256,204-01 Hollis Avenue
South Jamaica,11433,http://www.queenslibrary.org/branch/South-Jamaica?filters=ev_loc:95400000,-73.79021187041809,40.695611117576654,108-41 Guy R. Brewer Boulevard
South Ozone Park,11420,http://www.queenslibrary.org/branch/South-Ozone-Park?filters=ev_loc:95500000,-73.80926182925428,40.674783953734696,128-16 Rockaway Boulevard
St.Albans,11412,http://www.queenslibrary.org/branch/St.Albans?filters=ev_loc:95200000,-73.76007289358745,40.69249997141939,191-05 Linden Boulevard
Steinway,11105,http://www.queenslibrary.org/branch/Steinway?filters=ev_loc:95600000,-73.90945659290355,40.77682707405275,21-45 31 Street
Sunnyside,11104,http://www.queenslibrary.org/branch/Sunnyside?filters=ev_loc:95700000,-73.9216680312544,40.7408466968306,43-06 Greenpoint Avenue
Whitestone,11357,http://www.queenslibrary.org/branch/Whitestone?filters=ev_loc:95800000,-73.81070183926587,40.78854019464647,151-10 14 Road
Windsor Park,11364,http://www.queenslibrary.org/branch/Windsor-Park?filters=ev_loc:95900000,-73.7556194209342,40.73450483347836,79-50 Bell Boulevard
Woodhaven,11421,http://www.queenslibrary.org/branch/Woodhaven?filters=ev_loc:96000000,-73.86145741517984,40.69453115325741,85-41 Forest Parkway
Woodside,11377,http://www.queenslibrary.org/branch/Woodside?filters=ev_loc:96100000,-73.9097937387323,40.745341712986715,54-22 Skillman Avenue
